"TotMilch_Menge_inkl_LI","CH_Milchpreis","Molkerei_Milchpreis","Verkaest_Milchpreis","Gewerblich_Milchpreis","Bio_Milchpreis","EU_Milchpreis_CHF","Kurs_CHF_Euro","Total_Staatlich_Zahlung","staatlich_kg_Milch","Kontingent_01","Freihandel_01","EU_Politik_01","Industriell_verkäst_Milchpreis","Import_Menge_Käse_und_Quark_kg","Schlachtungen_Kühe","Magermilchpulver_Prod_Menge","Vollmilchpulver_Prod_Menge","Butter_Prod_Menge","Export_Menge_Käse_und_Quark_kg","Milchpreis_NZ_Euro"
319478,60.5170409556751,56.8268889286315,65.64,70.41,71.2998421205201,40.407302,1.4339,32482913.25,10.1674961186686,0,1,1,58.4782243373385,3724190,12922,4512,1384,5364,4337586,26.26
323840,60.0017061145617,56.1708597715387,64.92,69.77,70.1148716566331,40.793727,1.4199,32736674.3499999,10.1089038877223,0,1,1,57.6365776677375,3928961,12514,3607,1615,5003,4544044,24.15
278439,61.8608024728371,57.7614745455412,66.39,70.6,73.7009336989483,40.826136,1.3774,34323610.1499999,12.3271560916394,0,1,1,60.0890944614614,4409174,12118,1543,1524,3520,4086643,30.14
265886,63.3376599709216,59.5058339753748,67.56,71.17,77.877977716565,41.207789,1.3471,31744784,11.9392461430839,0,1,1,62.1518246879944,3684142,12146,1630,834,3364,4165362,29.32
263199,64.5358973168346,60.6892323206031,69.32,72.43,79.8789444412375,42.620472,1.3428,29357551.35,11.1541272383254,0,1,1,64.6562144001107,4022696,14729,1557,1342,2933,4578220,29.09
289365,65.2831887104542,60.8970724057232,71.11,74.23,80.4737255163289,42.748695,1.3085,31496951.4499999,10.8848518134536,0,1,1,66.4303325383151,3775527,15154,1369,1464,2665,4625081,29.21
287776,65.5687238978779,61.6089458840221,71.46,74.61,77.4535334655978,44.259768,1.3461,33385590.3,11.6012420424219,0,1,1,66.7525518073211,3782530,17445,2252,1547,3347,5346707,29.71
262392,64.2847810467347,60.5588603794958,69.06,72.48,76.4500916454008,44.785295,1.3445,32427035.9999999,12.3582411049117,0,1,1,63.9285838199449,4089703,20046,1786,1499,3447,6218366,30.92
274881,64.1183562684048,60.8863413543356,69.07,72.52,75.5302506694042,42.57995,1.2806,35151663.0499999,12.7879566248667,0,1,1,63.8981092711098,4257008,14043,2937,1125,4232,5926062,31.16
287611,62.8569061125772,59.9354113523975,67.59,70.51,74.9626750697018,42.375164,1.2779,32355304.5333332,11.2496756150958,0,1,1,63.2144889520424,3314861,18518,3119,1328,4897,3986279,33.89
269134,62.8905175117951,60.4526879764937,66.26,69.47,74.0760117380481,43.17678,1.2966,29722188.0833332,11.043639259006,0,1,1,61.443133444317,3819394,13989,2559,1135,4060,4587533,32.97
309336,61.9732602752571,59.4636895892771,64.8,68.83,73.3473424745916,42.848433,1.2879,29107717.9833333,9.40974150546116,0,1,1,58.7580532550509,4578937,14851,3519,1431,5118,5411130,31.34
321938,62.5522394579121,60.5772884562701,64.62,68.05,73.6569789934876,42.814422,1.2978,32259054.7333333,10.0202693479283,0,1,1,59.4881385199074,4087533,12017,4410,1415,5253,4537944,32.26
319200,62.6687957506613,60.2416434479531,65.27,68.79,74.2642055221144,41.6955,1.254,33058635.5833332,10.3567154083124,0,1,1,59.9949964525424,4452855,13504,3336,1525,5018,4555675,32.8
279855,64.3525358514614,61.653863729825,67.51,69.87,77.3084030040596,40.862247,1.2093,34257303.1833333,12.241090272939,0,1,1,63.9635103995071,4485823,11034,1622,1340,3911,4452103,30.42
275190,64.9455799105447,61.825180775541,68.82,70.86,81.3364412635094,40.316094,1.1778,32025169.6833332,11.637475810652,0,1,1,65.7607243353728,3927229,12689,2005,1087,3679,4652119,31.82
267009,64.9974298545162,61.2124682823138,69.69,71.19,81.9329125358097,38.533995,1.1205,31663952.0333332,11.8587583314919,0,1,1,67.4236197552489,4310569,14164,1241,1357,3407,5084198,31.46
291381,65.1985829507868,61.4768917440376,69.78,71.48,83.6336600111817,41.78279,1.201,33788269.1833332,11.595906796714,0,1,1,67.2432650164266,3704852,15459,1252,1746,2968,5179969,29.71
293577,65.4632281466111,62.2256787290341,70.28,71.54,80.6064995236446,42.932318,1.2298,32828548.4333332,11.1822617007917,0,1,1,68.407642991487,3851939,17571,1951,1800,3460,5302547,28.97
270609,63.5027690291154,59.7795052564692,68.31,71.76,79.8746118695704,43.22565,1.2315,34115744.6333332,12.6070251297382,0,1,1,63.1400125496877,4296900,17174,1483,2083,3376,6408344,29.42
287134,62.8479037653639,59.5742304954917,67.75,71.57,79.6821447028976,42.585444,1.2276,31169411.8333332,10.8553538881962,0,1,1,62.0022072927565,4057500,13731,2310,2004,3844,5901675,30.32
297252,62.4824159769992,59.2194254683634,67.06,70.97,78.1542872019992,41.613396,1.2111,30143077.4058332,10.1405801830882,0,1,1,61.1927015187419,3634316,17527,3470,1515,5491,4555343,32.12
284906,62.8762843856592,59.8947264724868,66.58,70.5,77.7996126202789,41.431104,1.2072,30476142.4558332,10.6969114219543,0,1,1,60.7051442747415,4217165,13235,2974,1224,4938,5260867,31.98
322962,61.4508697871484,58.5119444728021,65.09,69.65,76.2581946568608,40.350735,1.2063,30426579.3058332,9.42110195807347,0,1,1,58.2604434266139,4515063,14462,4415,1399,5520,5704218,31.44
322751,61.0175590752091,57.9333543492911,65.47,70,76.233276520142,38.518488,1.2022,32661025.0558332,10.1195736204793,0,1,1,58.6762644502583,4129116,12861,5213,1951,5957,4565920,30.05
328625,59.4432273413713,55.5425898383717,64.46,69.52,75.6077280391537,37.465428,1.2012,32318964.6558333,9.83460316647648,0,1,1,56.8733322618974,4601139,12257,4344,1978,5407,5208261,29.3
284820,60.481425311023,56.2423241781188,65.31,69.52,77.8284820566535,37.1109,1.201,33771337.2558332,11.8570807021393,0,1,1,58.9763981954969,4451085,11210,1581,1321,4052,4586572,27.68
266345,61.500562855695,56.7772404927459,66.28,70.2,78.8069500141541,37.25502,1.201,32000475.0058333,12.0146708238688,0,1,1,60.3912754713314,4339105,12838,1276,1034,3533,4562939,27.48
260897,61.3714649361652,56.2789330757621,67.33,70.6,78.6887402329779,37.522364,1.2011,31302751.1558332,11.998126140137,0,1,1,62.4419706809052,4278263,13470,985,1360,3217,5122579,27.66
288629,62.3189239770984,57.4129079419186,68.14,71.75,78.6951721208735,38.781512,1.2089,32365237.2058333,11.2134391228301,0,1,1,62.7332808002736,3920394,13661,320,1371,2615,4833158,26.95
280055,63.3385128136377,58.7978568218964,68.83,72.36,79.2336316705486,40.116968,1.2098,34233352.6558332,12.2237962742437,0,1,1,63.5395995441805,4242904,19313,906,1822,3155,6381647,26.75
258999,62.9373623150626,58.4898003130151,68.24,72.74,78.1474295990729,41.061164,1.2052,33100394.4058332,12.7801244042769,0,1,1,61.4826085338838,4230904,18927,1218,1406,3210,6313003,28.23
274590,63.0009936289706,59.3679292141836,68.43,72.65,77.3178815379892,41.339129,1.2091,31892722.1058332,11.614669909987,0,1,1,62.0998070475586,4294670,13629,2333,1210,3548,5330229,28
287597,63.2184650520291,59.8607001416189,67.46,71.16,76.2742946522855,42.15724,1.228,28033457.3833332,9.7474790708294,0,1,1,61.9254149383418,3894043,16508,1378,1700,4348,5463275,27.85
267079,62.8912591968677,59.8667140114111,67.34,71.7,74.6668495681732,41.948478,1.2298,30993774.5333333,11.60472164915,0,1,1,60.8021025983757,3994473,13525,1270,1446,3997,4937448,29.21
304130,62.4933010233316,59.3042384340567,66.25,71.27,74.30906906375,41.783448,1.2264,29629085.1833333,9.74224350880654,0,1,1,58.7203638392255,4553485,13760,1682,1553,4299,5689638,29.74
302929,62.0619032853459,59.4418537531756,65.72,70.79,73.8525234822264,41.704962,1.2198,32651658.2333333,10.7786505198688,0,1,1,58.1163386915835,4491454,13711,2682,1486,4923,4929398,30.33
314730,62.2372054231872,58.8263520457165,66.35,71.71,73.819628039343,42.49055,1.2406,32304012.4333332,10.2640397907201,0,1,1,58.3060985719686,4825371,11710,2582,1567,4857,5227788,29.51
278031,66.0507547029956,62.8372175602378,69.86,73.47,76.8137302653762,43.979168,1.2326,33872026.7833333,12.1828237798423,0,1,1,64.453389829807,4370140,10178,922,1496,3103,4387797,34.18
270443,67.7356349352541,64.4497620970884,71.03,74.25,81.6495831090278,44.893684,1.2364,31490054.2833333,11.6438784820954,0,1,1,66.2028636553642,4530718,11563,1821,1341,3868,4931865,37.25
267313,68.3045613522022,65.2650242778526,71.86,74.44,82.3564081839992,45.463124,1.2334,31165259.8833332,11.6587146466252,0,1,1,67.9777500435729,4393065,13545,1742,1284,3295,4392697,38.97
291152,69.6539293112473,66.5682349321596,73.27,75.75,83.1970916594905,47.427272,1.2338,32029943.9833333,11.0011073196589,0,1,1,69.5539169258491,4248402,14947,1246,1371,3054,5227329,39.97
290998,70.0025937898843,67.5233752961791,72.95,76.21,79.7645036375773,48.51716,1.2314,33279914.7833333,11.4364754339663,0,1,1,68.0534404672306,4319078,17610,1631,1529,3479,6098333,40.09
269059,70.8712346924279,67.3954482488535,72.88,76.65,78.5108040989132,49.534699,1.2319,32988740.8333333,12.2607832606727,0,1,1,67.2327969743682,4108584,18623,1112,1279,3420,5993574,39.1
285152,70.1763265606966,67.8155601932261,73.27,76.48,78.61164757501,49.253229,1.2249,37506704.1333333,13.1532320072569,0,1,1,68.4501942554604,4420491,14589,2400,1396,3987,5603914,38.31
300456,70.3170937623698,67.9468687933689,73.47,77.3,77.3317419138619,49.383432,1.2312,24423749.05,8.12889376481082,0,1,1,67.7360929793516,3888168,16664,2845,1351,4887,5392372,40.4
278637,69.8454620355528,67.6666690047816,72.55,76.82,76.7815104565732,48.839787,1.2213,31717395.7,11.3830523943338,0,1,1,66.1555479335891,4073536,12919,2049,1584,4105,4636237,40.41
